address_from,address_to,block_number,gas,gas_used,input,output,timestamp,trace_id,trace_type,transaction_hash,value
0xd02c260f54997146c9028b2ac7144b11ce4c20a6,0xcb6afdc84e8949ddf49ab00b5b351a5b0f65a723,13653150,265611,69397,0x6e553f650000000000000000000000000000000000000000000000000000000005f5e100000000000000000000000000d02c260f54997146c9028b2ac7144b11ce4c20a6,0x0000000000000000000000000000000000000000000000056bbf2e57c9166fdc,-1,3_0,CALL,0xa992b28ecf2eed778d20d5200946ea341b950be0c3d78b1f2237a4d8d795de95,0
0xcb6afdc84e8949ddf49ab00b5b351a5b0f65a723,0xdac17f958d2ee523a2206206994597c13d831ec7,13653150,252867,1031,0x70a08231000000000000000000000000d02c260f54997146c9028b2ac7144b11ce4c20a6,0x000000000000000000000000000000000000000000000000000000000bebc200,-1,4_0,STATICCALL,0xa992b28ecf2eed778d20d5200946ea341b950be0c3d78b1f2237a4d8d795de95,-1
0xcb6afdc84e8949ddf49ab00b5b351a5b0f65a723,0xdac17f958d2ee523a2206206994597c13d831ec7,13653150,250678,1356,0xdd62ed3e000000000000000000000000d02c260f54997146c9028b2ac7144b11ce4c20a6000000000000000000000000cb6afdc84e8949ddf49ab00b5b351a5b0f65a723,0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,-1,4_1,STATICCALL,0xa992b28ecf2eed778d20d5200946ea341b950be0c3d78b1f2237a4d8d795de95,-1
0xcb6afdc84e8949ddf49ab00b5b351a5b0f65a723,0xdac17f958d2ee523a2206206994597c13d831ec7,13653150,248465,2484,0x313ce567,0x0000000000000000000000000000000000000000000000000000000000000006,-1,4_2,STATICCALL,0xa992b28ecf2eed778d20d5200946ea341b950be0c3d78b1f2237a4d8d795de95,-1
0xcb6afdc84e8949ddf49ab00b5b351a5b0f65a723,0xdac17f958d2ee523a2206206994597c13d831ec7,13653150,205273,11730,0x23b872dd000000000000000000000000d02c260f54997146c9028b2ac7144b11ce4c20a6000000000000000000000000cb6afdc84e8949ddf49ab00b5b351a5b0f65a7230000000000000000000000000000000000000000000000000000000005f5e100,,-1,4_3,CALL,0xa992b28ecf2eed778d20d5200946ea341b950be0c3d78b1f2237a4d8d795de95,0
0xd02c260f54997146c9028b2ac7144b11ce4c20a6,0xcb6afdc84e8949ddf49ab00b5b351a5b0f65a723,13653150,196749,474,0x7e1c0c09,0x0000000000000000000000000000000000000000000015587b27930775f62000,-1,3_1,CALL,0xa992b28ecf2eed778d20d5200946ea341b950be0c3d78b1f2237a4d8d795de95,0
0xd02c260f54997146c9028b2ac7144b11ce4c20a6,0xcb6afdc84e8949ddf49ab00b5b351a5b0f65a723,13653150,195710,25754,0x6f1a366d000000000000000000000000d02c260f54997146c9028b2ac7144b11ce4c20a60000000000000000000000000000000000000000000000000000000005f5e1000000000000000000000000000000000000000000000000000000b72c986fee1c,,-1,3_2,CALL,0xa992b28ecf2eed778d20d5200946ea341b950be0c3d78b1f2237a4d8d795de95,0
0xcb6afdc84e8949ddf49ab00b5b351a5b0f65a723,0xdac17f958d2ee523a2206206994597c13d831ec7,13653150,185538,4930,0x23b872dd000000000000000000000000d02c260f54997146c9028b2ac7144b11ce4c20a6000000000000000000000000cb6afdc84e8949ddf49ab00b5b351a5b0f65a7230000000000000000000000000000000000000000000000000000000005f5e100,,-1,4_0,CALL,0xa992b28ecf2eed778d20d5200946ea341b950be0c3d78b1f2237a4d8d795de95,0
0xcb6afdc84e8949ddf49ab00b5b351a5b0f65a723,0xdac17f958d2ee523a2206206994597c13d831ec7,13653150,177197,484,0x313ce567,0x0000000000000000000000000000000000000000000000000000000000000006,-1,4_1,STATICCALL,0xa992b28ecf2eed778d20d5200946ea341b950be0c3d78b1f2237a4d8d795de95,-1
0xd02c260f54997146c9028b2ac7144b11ce4c20a6,0xcb6afdc84e8949ddf49ab00b5b351a5b0f65a723,13653150,169872,39935,0x00f714ce0000000000000000000000000000000000000000000000056bbf2e57c9166fdc000000000000000000000000d02c260f54997146c9028b2ac7144b11ce4c20a6,0x0000000000000000000000000000000000000000000000056bbf2e57c9166fdc,-1,3_3,CALL,0xa992b28ecf2eed778d20d5200946ea341b950be0c3d78b1f2237a4d8d795de95,0
0xcb6afdc84e8949ddf49ab00b5b351a5b0f65a723,0xdac17f958d2ee523a2206206994597c13d831ec7,13653150,158229,484,0x313ce567,0x0000000000000000000000000000000000000000000000000000000000000006,-1,4_0,STATICCALL,0xa992b28ecf2eed778d20d5200946ea341b950be0c3d78b1f2237a4d8d795de95,-1
0xcb6afdc84e8949ddf49ab00b5b351a5b0f65a723,0xdac17f958d2ee523a2206206994597c13d831ec7,13653150,154865,26801,0xa9059cbb000000000000000000000000d02c260f54997146c9028b2ac7144b11ce4c20a6000000000000000000000000000000000000000000000000000000174876e6a4,,-1,4_1,CALL,0xa992b28ecf2eed778d20d5200946ea341b950be0c3d78b1f2237a4d8d795de95,0
0xd02c260f54997146c9028b2ac7144b11ce4c20a6,0xdac17f958d2ee523a2206206994597c13d831ec7,13653150,130003,4901,0xa9059cbb0000000000000000000000000d4a11d5eeaac28ec3f61d100daf4d40471f1852000000000000000000000000000000000000000000000000000000000bf4f190,,-1,3_4,CALL,0xa992b28ecf2eed778d20d5200946ea341b950be0c3d78b1f2237a4d8d795de95,0
0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,13653150,126484,2534,0x70a082310000000000000000000000000d4a11d5eeaac28ec3f61d100daf4d40471f1852,0x0000000000000000000000000000000000000000000005550589e69b64360219,-1,2_2,STATICCALL,0xa992b28ecf2eed778d20d5200946ea341b950be0c3d78b1f2237a4d8d795de95,-1
0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xdac17f958d2ee523a2206206994597c13d831ec7,13653150,123584,1031,0x70a082310000000000000000000000000d4a11d5eeaac28ec3f61d100daf4d40471f1852,0x00000000000000000000000000000000000000000000000000006145548669dc,-1,2_3,STATICCALL,0xa992b28ecf2eed778d20d5200946ea341b950be0c3d78b1f2237a4d8d795de95,-1
0xd02c260f54997146c9028b2ac7144b11ce4c20a6,0xdac17f958d2ee523a2206206994597c13d831ec7,13653150,108157,9701,0xa9059cbb0000000000000000000000006510438a7e273e71300892c6faf946ab3b04cbcb000000000000000000000000000000000000000000000000000000173c81f514,,-1,1_2,CALL,0xa992b28ecf2eed778d20d5200946ea341b950be0c3d78b1f2237a4d8d795de95,0
0xc356ef8082ea212f4db7e57f5aa845b69688cbba,0xcb6afdc84e8949ddf49ab00b5b351a5b0f65a723,13652331,74787,2931,0x70a0823100000000000000000000000047a11b9b6eb71f047d797e44e6ba508eba9f2e16,0x0000000000000000000000000000000000000000000006706f819406e8a4ab8d,-1,1_0,STATICCALL,0x9286c5ef4abf97bc0d9e2aa7fbd8187f7484985da5a285bac9516b4b89709b77,-1
0xc356ef8082ea212f4db7e57f5aa845b69688cbba,0xcb6afdc84e8949ddf49ab00b5b351a5b0f65a723,13652331,28162,19268,0x23b872dd00000000000000000000000047a11b9b6eb71f047d797e44e6ba508eba9f2e16000000000000000000000000c356ef8082ea212f4db7e57f5aa845b69688cbba0000000000000000000000000000000000000000000006706f819406e8a4ab8d,0x0000000000000000000000000000000000000000000000000000000000000001,-1,1_1,CALL,0x9286c5ef4abf97bc0d9e2aa7fbd8187f7484985da5a285bac9516b4b89709b77,0
